# log10(mAp[MeV]), log10(r[cm]), log10(dQ/dr[erg/cm/MeV])
0.00000e+00 1.20000e+01 -3.00000e+02
0.00000e+00 1.22000e+01 -3.00000e+02
0.00000e+00 1.24000e+01 -3.00000e+02
0.00000e+00 1.26000e+01 -3.00000e+02
0.00000e+00 1.28000e+01 -3.00000e+02
0.00000e+00 1.30000e+01 -3.00000e+02
0.00000e+00 1.32000e+01 -3.00000e+02
0.00000e+00 1.34000e+01 -3.00000e+02
0.00000e+00 1.36000e+01 -3.00000e+02
0.00000e+00 1.38000e+01 -3.00000e+02
0.00000e+00 1.40000e+01 -3.00000e+02
0.00000e+00 1.42000e+01 -3.00000e+02
0.00000e+00 1.44000e+01 -3.00000e+02
0.00000e+00 1.46000e+01 -3.00000e+02
0.00000e+00 1.48000e+01 -3.00000e+02
0.00000e+00 1.50000e+01 -3.00000e+02
0.00000e+00 1.52000e+01 -3.00000e+02
0.00000e+00 1.54000e+01 -3.00000e+02
0.00000e+00 1.56000e+01 -3.00000e+02
0.00000e+00 1.58000e+01 -3.00000e+02
0.00000e+00 1.60000e+01 -3.00000e+02
0.00000e+00 1.62000e+01 -3.00000e+02
0.00000e+00 1.64000e+01 -3.00000e+02
0.00000e+00 1.66000e+01 -3.00000e+02
0.00000e+00 1.68000e+01 -3.00000e+02
0.00000e+00 1.70000e+01 -3.00000e+02
0.00000e+00 1.72000e+01 -3.00000e+02
0.00000e+00 1.74000e+01 -3.00000e+02
0.00000e+00 1.76000e+01 -3.00000e+02
0.00000e+00 1.78000e+01 -3.00000e+02
0.00000e+00 1.80000e+01 -3.00000e+02
0.00000e+00 1.82000e+01 -3.00000e+02
0.00000e+00 1.84000e+01 -3.00000e+02
0.00000e+00 1.86000e+01 -3.00000e+02
0.00000e+00 1.88000e+01 -3.00000e+02
0.00000e+00 1.90000e+01 -3.00000e+02
0.00000e+00 1.92000e+01 -3.00000e+02
0.00000e+00 1.94000e+01 -3.00000e+02
0.00000e+00 1.96000e+01 -3.00000e+02
0.00000e+00 1.98000e+01 -3.00000e+02
0.00000e+00 2.00000e+01 -3.00000e+02
2.99922e-02 1.20000e+01 2.50476e+01
2.99922e-02 1.22000e+01 2.50476e+01
2.99922e-02 1.24000e+01 2.50476e+01
2.99922e-02 1.26000e+01 2.50476e+01
2.99922e-02 1.28000e+01 2.50476e+01
2.99922e-02 1.30000e+01 2.50476e+01
2.99922e-02 1.32000e+01 2.50476e+01
2.99922e-02 1.34000e+01 2.50476e+01
2.99922e-02 1.36000e+01 2.50476e+01
2.99922e-02 1.38000e+01 2.50476e+01
2.99922e-02 1.40000e+01 2.50476e+01
2.99922e-02 1.42000e+01 2.50476e+01
2.99922e-02 1.44000e+01 2.50476e+01
2.99922e-02 1.46000e+01 2.50476e+01
2.99922e-02 1.48000e+01 2.50476e+01
2.99922e-02 1.50000e+01 2.50476e+01
2.99922e-02 1.52000e+01 2.50476e+01
2.99922e-02 1.54000e+01 2.50475e+01
2.99922e-02 1.56000e+01 2.50475e+01
2.99922e-02 1.58000e+01 2.50474e+01
2.99922e-02 1.60000e+01 2.50472e+01
2.99922e-02 1.62000e+01 2.50469e+01
2.99922e-02 1.64000e+01 2.50466e+01
2.99922e-02 1.66000e+01 2.50458e+01
2.99922e-02 1.68000e+01 2.50448e+01
2.99922e-02 1.70000e+01 2.50434e+01
2.99922e-02 1.72000e+01 2.50415e+01
2.99922e-02 1.74000e+01 2.50383e+01
2.99922e-02 1.76000e+01 2.50336e+01
2.99922e-02 1.78000e+01 2.50226e+01
2.99922e-02 1.80000e+01 2.50116e+01
2.99922e-02 1.82000e+01 2.49979e+01
2.99922e-02 1.84000e+01 2.49735e+01
2.99922e-02 1.86000e+01 2.49403e+01
2.99922e-02 1.88000e+01 2.49165e+01
2.99922e-02 1.90000e+01 2.48460e+01
2.99922e-02 1.92000e+01 2.47394e+01
2.99922e-02 1.94000e+01 2.46146e+01
2.99922e-02 1.96000e+01 2.44336e+01
2.99922e-02 1.98000e+01 2.41703e+01
2.99922e-02 2.00000e+01 2.37874e+01
6.00175e-02 1.20000e+01 2.53257e+01
6.00175e-02 1.22000e+01 2.53257e+01
