# log10(mAp[MeV]), log10(r[cm]), log10(dQ/dr[erg/cm/MeV])
0.00000e+00 1.20000e+01 -3.00000e+02
0.00000e+00 1.22000e+01 -3.00000e+02
0.00000e+00 1.24000e+01 -3.00000e+02
0.00000e+00 1.26000e+01 -3.00000e+02
0.00000e+00 1.28000e+01 -3.00000e+02
0.00000e+00 1.30000e+01 -3.00000e+02
0.00000e+00 1.32000e+01 -3.00000e+02
0.00000e+00 1.34000e+01 -3.00000e+02
0.00000e+00 1.36000e+01 -3.00000e+02
0.00000e+00 1.38000e+01 -3.00000e+02
0.00000e+00 1.40000e+01 -3.00000e+02
0.00000e+00 1.42000e+01 -3.00000e+02
0.00000e+00 1.44000e+01 -3.00000e+02
0.00000e+00 1.46000e+01 -3.00000e+02
0.00000e+00 1.48000e+01 -3.00000e+02
0.00000e+00 1.50000e+01 -3.00000e+02
0.00000e+00 1.52000e+01 -3.00000e+02
0.00000e+00 1.54000e+01 -3.00000e+02
0.00000e+00 1.56000e+01 -3.00000e+02
0.00000e+00 1.58000e+01 -3.00000e+02
0.00000e+00 1.60000e+01 -3.00000e+02
0.00000e+00 1.62000e+01 -3.00000e+02
0.00000e+00 1.64000e+01 -3.00000e+02
0.00000e+00 1.66000e+01 -3.00000e+02
0.00000e+00 1.68000e+01 -3.00000e+02
0.00000e+00 1.70000e+01 -3.00000e+02
0.00000e+00 1.72000e+01 -3.00000e+02
0.00000e+00 1.74000e+01 -3.00000e+02
0.00000e+00 1.76000e+01 -3.00000e+02
0.00000e+00 1.78000e+01 -3.00000e+02
0.00000e+00 1.80000e+01 -3.00000e+02
0.00000e+00 1.82000e+01 -3.00000e+02
0.00000e+00 1.84000e+01 -3.00000e+02
0.00000e+00 1.86000e+01 -3.00000e+02
0.00000e+00 1.88000e+01 -3.00000e+02
0.00000e+00 1.90000e+01 -3.00000e+02
0.00000e+00 1.92000e+01 -3.00000e+02
0.00000e+00 1.94000e+01 -3.00000e+02
0.00000e+00 1.96000e+01 -3.00000e+02
0.00000e+00 1.98000e+01 -3.00000e+02
0.00000e+00 2.00000e+01 -3.00000e+02
2.99922e-02 1.20000e+01 3.28119e+01
2.99922e-02 1.22000e+01 3.28114e+01
2.99922e-02 1.24000e+01 3.28109e+01
2.99922e-02 1.26000e+01 3.28097e+01
2.99922e-02 1.28000e+01 3.28092e+01
2.99922e-02 1.30000e+01 3.28079e+01
2.99922e-02 1.32000e+01 3.28057e+01
2.99922e-02 1.34000e+01 3.28021e+01
2.99922e-02 1.36000e+01 3.27965e+01
2.99922e-02 1.38000e+01 3.27876e+01
2.99922e-02 1.40000e+01 3.27744e+01
2.99922e-02 1.42000e+01 3.27577e+01
2.99922e-02 1.44000e+01 3.27310e+01
2.99922e-02 1.46000e+01 3.26974e+01
2.99922e-02 1.48000e+01 3.26502e+01
2.99922e-02 1.50000e+01 3.25836e+01
2.99922e-02 1.52000e+01 3.24939e+01
2.99922e-02 1.54000e+01 3.23666e+01
2.99922e-02 1.56000e+01 3.21899e+01
2.99922e-02 1.58000e+01 3.19345e+01
2.99922e-02 1.60000e+01 3.15681e+01
2.99922e-02 1.62000e+01 3.10292e+01
2.99922e-02 1.64000e+01 3.02493e+01
2.99922e-02 1.66000e+01 2.91682e+01
2.99922e-02 1.68000e+01 2.79477e+01
2.99922e-02 1.70000e+01 2.69795e+01
2.99922e-02 1.72000e+01 2.60063e+01
2.99922e-02 1.74000e+01 2.48363e+01
2.99922e-02 1.76000e+01 2.33890e+01
2.99922e-02 1.78000e+01 2.15444e+01
2.99922e-02 1.80000e+01 1.90720e+01
2.99922e-02 1.82000e+01 1.55433e+01
2.99922e-02 1.84000e+01 1.02516e+01
2.99922e-02 1.86000e+01 2.09556e+00
2.99922e-02 1.88000e+01 -1.06602e+01
2.99922e-02 1.90000e+01 -3.06761e+01
2.99922e-02 1.92000e+01 -6.22368e+01
2.99922e-02 1.94000e+01 -3.00000e+02
2.99922e-02 1.96000e+01 -3.00000e+02
2.99922e-02 1.98000e+01 -3.00000e+02
2.99922e-02 2.00000e+01 -3.00000e+02
6.00175e-02 1.20000e+01 3.30926e+01
6.00175e-02 1.22000e+01 3.30922e+01
