# ESTAR: Stopping Powers and Range Tables for Electrons
#                                                                  
# Kinetic       H         He
# Energy     (g/cm^2)  (g/cm^2)
# (MeV)
#
1.000E-02 1.076E-04 2.467E-04
1.250E-02 1.613E-04 3.678E-04
1.500E-02 2.245E-04 5.098E-04
1.750E-02 2.970E-04 6.721E-04
2.000E-02 3.783E-04 8.537E-04
2.500E-02 5.667E-04 1.273E-03
3.000E-02 7.878E-04 1.764E-03
3.500E-02 1.040E-03 2.322E-03
4.000E-02 1.322E-03 2.945E-03
4.500E-02 1.633E-03 3.630E-03
5.000E-02 1.970E-03 4.374E-03
5.500E-02 2.334E-03 5.174E-03
6.000E-02 2.724E-03 6.029E-03
7.000E-02 3.575E-03 7.896E-03
8.000E-02 4.517E-03 9.958E-03
9.000E-02 5.544E-03 1.220E-02
1.000E-01 6.650E-03 1.462E-02
1.250E-01 9.733E-03 2.134E-02
1.500E-01 1.322E-02 2.891E-02
1.750E-01 1.705E-02 3.723E-02
2.000E-01 2.118E-02 4.619E-02
2.500E-01 3.021E-02 6.574E-02
3.000E-01 4.007E-02 8.702E-02
3.500E-01 5.057E-02 1.097E-01
4.000E-01 6.159E-02 1.334E-01
4.500E-01 7.303E-02 1.580E-01
5.000E-01 8.480E-02 1.833E-01
5.500E-01 9.684E-02 2.092E-01
6.000E-01 1.091E-01 2.355E-01
7.000E-01 1.342E-01 2.891E-01
8.000E-01 1.597E-01 3.437E-01
9.000E-01 1.856E-01 3.990E-01
1.000E+00 2.117E-01 4.547E-01
1.250E+00 2.774E-01 5.948E-01
1.500E+00 3.433E-01 7.349E-01
1.750E+00 4.090E-01 8.744E-01
2.000E+00 4.744E-01 1.013E+00
2.500E+00 6.039E-01 1.287E+00
3.000E+00 7.316E-01 1.557E+00
3.500E+00 8.576E-01 1.822E+00
4.000E+00 9.819E-01 2.084E+00
4.500E+00 1.105E+00 2.342E+00
5.000E+00 1.226E+00 2.597E+00
5.500E+00 1.346E+00 2.848E+00
6.000E+00 1.465E+00 3.098E+00
7.000E+00 1.700E+00 3.588E+00
8.000E+00 1.931E+00 4.070E+00
9.000E+00 2.159E+00 4.544E+00
1.000E+01 2.383E+00 5.011E+00
1.250E+01 2.934E+00 6.151E+00
1.500E+01 3.470E+00 7.258E+00
1.750E+01 3.995E+00 8.337E+00
2.000E+01 4.510E+00 9.391E+00
2.500E+01 5.513E+00 1.144E+01
3.000E+01 6.486E+00 1.341E+01
3.500E+01 7.433E+00 1.531E+01
4.000E+01 8.357E+00 1.717E+01
4.500E+01 9.261E+00 1.897E+01
5.000E+01 1.015E+01 2.072E+01
5.500E+01 1.102E+01 2.243E+01
6.000E+01 1.188E+01 2.410E+01
7.000E+01 1.355E+01 2.734E+01
8.000E+01 1.518E+01 3.044E+01
9.000E+01 1.677E+01 3.343E+01
1.000E+02 1.831E+01 3.631E+01
1.250E+02 2.202E+01 4.311E+01
1.500E+02 2.551E+01 4.943E+01
1.750E+02 2.883E+01 5.534E+01
2.000E+02 3.198E+01 6.090E+01
2.500E+02 3.785E+01 7.110E+01
3.000E+02 4.322E+01 8.030E+01
3.500E+02 4.819E+01 8.868E+01
4.000E+02 5.279E+01 9.637E+01
4.500E+02 5.709E+01 1.035E+02
5.000E+02 6.112E+01 1.101E+02
5.500E+02 6.490E+01 1.163E+02
6.000E+02 6.848E+01 1.221E+02
7.000E+02 7.508E+01 1.327E+02
8.000E+02 8.107E+01 1.422E+02
9.000E+02 8.654E+01 1.509E+02
1.000E+03 9.157E+01 1.588E+02
